,album_title,artist,release_date,score
126,Heart Like a Levee,Hiss Golden Messenger,"October 7, 2016",82
127,case/lang/veirs,case/lang/veirs,"June 17, 2016",82
128,Here's to Taking It Easy,Phosphorescent,"May 11, 2010",82
129,Luck in the Valley,Jack Rose,"February 23, 2010",82
130,Wind's Poem,Mount Eerie,"August 18, 2009",82
131,Catacombs,Cass McCombs,"June 2, 2009",82
132,"She's the Dutchess, He's the Duke",The Dutchess and the Duke,"July 8, 2008",82
133,The Letting Go,Bonnie 'Prince' Billy,"September 19, 2006",82
134,Post,M. Ward,"August 22, 2006",82
135,Brightblack Morning Light,Brightblack Morning Light,"June 20, 2006",82
136,Transistor Radio,M. Ward,"February 22, 2005",82
137,Her Majesty the Decemberists,The Decemberists,"September 9, 2003",82
138,Strange Bird,Augie March,"October 14, 2002",82
139,All Hail West Texas,The Mountain Goats,"February 19, 2002",82
140,Roomsound,Califone,"April 10, 2001",82
141,Ghost of David,Damien Jurado,"September 19, 2000",82
142,Down Colorful Hill,Red House Painters,"September 14, 1992",82
143,Songs of Love and Hate,Leonard Cohen,"March 19, 1971",82
144,City Music,Kevin Morby,"June 16, 2017",81
145,The Navigator,Hurray For The Riff Raff,"March 10, 2017",81
146,Burning the Threshold,Six Organs of Admittance,"February 24, 2017",81
147,Sauna,Mount Eerie,"February 3, 2015",81
148,On Your Own Love Again,Jessica Pratt,"January 27, 2015",81
149,What Am I Going to Do With Everything I Know,The Weather Station,"October 14, 2014",81
150,July,Marissa Nadler,"February 4, 2014",81
151,Once I Was an Eagle,Laura Marling,"May 27, 2013",81
152,Torres,TORRES,"January 22, 2013",81
153,Marissa Nadler,Marissa Nadler,"June 14, 2011",81
154,The Golden Record,Little Scream,"April 12, 2011",81
155,Outlaster,Nina Nastasia,"June 22, 2010",81
156,I See the Sign,Sam Amidon,"April 13, 2010",81
157,I Speak Because I Can,Laura Marling,"April 6, 2010",81
158,All My Friends Are Funeral Singers,Califone,"October 6, 2009",81
159,"Gather, Form & Fly",Megafaun,"July 21, 2009",81
160,Sometimes I Wish We Were An Eagle,Bill Callahan,"April 14, 2009",81
161,March of the Zapotec/Holland EP,Beirut,"February 17, 2009",81
162,"For Emma, Forever Ago",Bon Iver,"February 19, 2008",81
163,Songs III: Bird on the Water,Marissa Nadler,"August 12, 2007",81
164,Overboard & Down,Okkervil River,"January 1, 2006",81
165,Seven Swans,Sufjan Stevens,"March 16, 2004",81
166,The Creek Drank The Cradle,Iron & Wine,"September 24, 2002",81
167,Castaways and Cutouts,The Decemberists,"May 21, 2002",81
168,The Weather Station,The Weather Station,"October 6, 2017",80
169,Peasant,Richard Dawson,"June 2, 2017",80
170,Goths,The Mountain Goats,"May 19, 2017",80
171,Colter Wall,Colter Wall,"May 12, 2017",80
172,Lodestar,Shirley Collins,"November 4, 2016",80
173,Modern Country,William Tyler,"June 3, 2016",80
174,Eyes on the Lines,Steve Gunn,"June 3, 2016",80
175,Thought Rock Fish Scale,Nap Eyes,"February 5, 2016",80
176,All Are Saved,Fred Thomas,"April 7, 2015",80
177,The Offer,Yowler,"March 10, 2015",80
178,Way Out Weather,Steve Gunn,"October 7, 2014",80
179,Double Exposure,Matt Kivel,"October 15, 2013",80
180,Haw,Hiss Golden Messenger,"April 1, 2013",80
181,Impossible Truth,William Tyler,"March 19, 2013",80
182,Half Way Home,Angel Olsen,"September 4, 2012",80
183,Love Will Prevail,Cult of Youth,"September 4, 2012",80
184,Life Is People,Bill Fay,"August 21, 2012",80
185,Silent Hour / Golden Mile,Daniel Rossen,"March 20, 2012",80
186,Apocalypse,Bill Callahan,"April 5, 2011",80
187,Innundir Skinni,Ólöf Arnalds,"September 14, 2010",80
188,Spoils,Alasdair Roberts,"May 5, 2009",80
189,Rockwell,Anni Rossi,"March 9, 2009",80
190,To Be Still,Alela Diane,"February 17, 2009",80
191,Rook,Shearwater,"June 3, 2008",80
192,Pride,Phosphorescent,"October 23, 2007",80
193,The Flying Club Cup,Beirut,"October 9, 2007",80
194,We Are Him,Angels of Light,"September 11, 2007",80
195,There's No Home,Jana Hunter,"April 2, 2007",80
196,Akron/Family,Akron/Family,"March 22, 2005",80
197,Love Songs for Patriots,American Music Club,"October 12, 2004",80
198,Niño Rojo,Devendra Banhart,"September 13, 2004",80
199,The Milk,Joanna Newsom,"March 23, 2004",80
200,Ballads of Living and Dying,Marissa Nadler,"January 31, 2004",80
201,The Grotto,Kristin Hersh,"March 17, 2003",80
202,Field Songs,Mark Lanegan Band,"May 8, 2001",80
203,Halfway to a Threeway,Jim O'Rourke,"November 22, 1999",80
204,Axxess & Ace,Songs: Ohia,"March 15, 1999",80
205,Cold Fact,Rodriguez,"March 1, 1970",80
206,Phases,Angel Olsen,"November 10, 2017",79
207,Summoning Suns,James Blackshaw,"March 17, 2015",79
208,Still Life,Kevin Morby,"October 14, 2014",79
209,Heal,Strand of Oaks,"June 23, 2014",79
210,With Light and With Love,Woods,"April 15, 2014",79
211,Where Shine New Lights,Tara Jane O'Neil,"January 27, 2014",79
212,Time Off,Steve Gunn,"June 18, 2013",79
213,Blood Oaths of the New Blues,Wooden Wand,"January 8, 2013",79
214,"Love Is The Plan, The Plan Is Death",James Blackshaw,"April 24, 2012",79
215,The Clearing,Bowerbirds,"March 6, 2012",79
216,Tramp,Sharon Van Etten,"February 7, 2012",79
217,People Changes,Nat Baldwin,"May 24, 2011",79
218,Akron/Family II: The Cosmic Birth and Journey of Shinju TNT,Akron/Family,"February 8, 2011",79
219,Undercard,The Extra Lens,"October 19, 2010",79
220,Saint Bartlett,Damien Jurado,"May 25, 2010",79
221,All Creatures Will Make Merry,Meursault,"May 24, 2010",79
222,The Golden Archipelago,Shearwater,"February 23, 2010",79
223,Beware,Bonnie 'Prince' Billy,"March 17, 2009",79
224,Blood Bank EP,Bon Iver,"January 20, 2009",79
225,Welcome to the Welcome Wagon,The Welcome Wagon,"December 9, 2008",79
226,"Let Me Go, Let Me Go, Let Me Go",Jason Molina,"August 22, 2006",79
227,II,Espers,"May 16, 2006",79
228,Wolves,My Latest Novel,"March 6, 2006",79
229,Year of Meteors,Laura Veirs,"August 23, 2005",79
230,Emoh,Lou Barlow,"January 24, 2005",79
231,Ease Down the Road,Bonnie 'Prince' Billy,"March 19, 2001",79
232,Red House Painters (Bridge),Red House Painters,"October 18, 1993",79
233,Wintres Woma,James Elkington,"June 30, 2017",78
234,House and Land,House and Land,"June 16, 2017",78
235,Mental Illness,Aimee Mann,"March 31, 2017",78
236,Southland Mission,Phil Cook,"September 11, 2015",78
237,Over and Even,Joan Shelley,"September 4, 2015",78
238,Remembering Mountains: Unheard Songs by Karen Dalton,Karen Dalton,"May 26, 2015",78
239,Loyalty,The Weather Station,"May 12, 2015",78
240,Heartleap,Vashti Bunyan,"October 7, 2014",78
241,Love,Amen Dunes,"May 13, 2014",78
242,Shrink Dust,Chad VanGaalen,"April 29, 2014",78
243,Small Town Heroes,Hurray For The Riff Raff,"February 11, 2014",78
244,The Double EP: The Sea of Split Peas,Courtney Barnett,"October 14, 2013",78
245,Miracle Temple,Mount Moriah,"February 26, 2013",78
246,Ripely Pine,Lady Lamb the Beekeeper,"February 19, 2013",78
247,Dispossession,Mike Wexler,"March 6, 2012",78
248,Young Man in America,Anaïs Mitchell,"February 28, 2012",78
249,Wolfroy Goes to Town,Bonnie 'Prince' Billy,"October 4, 2011",78
250,Megafaun,Megafaun,"September 20, 2011",78
251,Mount Moriah,Mount Moriah,"April 12, 2011",78
252,Asleep on the Floodplain,Six Organs of Admittance,"February 22, 2011",78
253,Cervantine,A Hawk and a Hacksaw,"February 18, 2011",78
254,Epic,Sharon Van Etten,"September 21, 2010",78
255,Sometimes The Blues Is Just A Passing Bird,The Tallest Man On Earth,"September 6, 2010",78
256,All Is Falling,James Blackshaw,"August 24, 2010",78
257,Belly of the Lion,Ola Podrida,"November 10, 2009",78
258,Blue Roses,Blue Roses,"July 21, 2009",78
259,Life On Earth,Tiny Vipers,"July 7, 2009",78
260,Délivrance,A Hawk and a Hacksaw,"May 18, 2009",78
261,A Ways Away,Tara Jane O'Neil,"May 5, 2009",78
262,(a)spera,Mirah,"March 10, 2009",78
263,The Living and The Dead,Jolie Holland,"October 7, 2008",78
264,In Our Nature,José González,"September 24, 2007",78
265,Love Is Simple,Akron/Family,"September 18, 2007",78
266,Lon Gisland,Beirut,"January 30, 2007",78
267,The Saga of Mayflower May,Marissa Nadler,"May 1, 2005",78
268,Great Lake Swimmers,Great Lake Swimmers,"January 28, 2003",78
269,Oh Me Oh My,Devendra Banhart,"October 28, 2002",78
270,Roman Candle,Elliott Smith,"July 14, 1994",78
271,One Foot in the Grave,Beck,"June 27, 1994",78
272,Ladies of the Canyon,Joni Mitchell,"March 1, 1970",78
273,Neil Young,Neil Young,"November 12, 1968",78
274,Follow Them True,Stick In The Wheel,"January 26, 2018",77
275,If Blue Could Be Happiness,Florist,"September 29, 2017",77
276,Carrie & Lowell Live,Sufjan Stevens,"April 28, 2017",77
277,Pleasure,Feist,"April 28, 2017",77
278,Semper Femina,Laura Marling,"March 10, 2017",77
279,50,Michael Chapman,"January 20, 2017",77
280,I Am All Your Own,Ilyas Ahmed,"March 24, 2015",77
281,Live At The Cellar Door,Neil Young,"December 10, 2013",77
282,Bright Sunny South,Sam Amidon,"May 14, 2013",77
283,My Garden State,Glenn Jones,"May 14, 2013",77
284,Ghosts Go Blind,Ola Podrida,"April 30, 2013",77
285,Country Sleep,Night Beds,"February 5, 2013",77
286,Rhine Gold,Choir of Young Believers,"April 10, 2012",77
287,The Rip Tide,Beirut,"August 30, 2011",77
288,The Ornament,Gold Leaves,"August 16, 2011",77
289,Tell Me,Jessica Lea Mayfield,"February 8, 2011",77
290,Kiss Each Other Clean,Iron & Wine,"January 25, 2011",77
291,In the Cool of the Day,Daniel Martin Moore,"January 18, 2011",77
292,Heretofore,Megafaun,"September 14, 2010",77
293,Made the Harbor,Mountain Man,"June 14, 2010",77
294,Because I Was in Love,Sharon Van Etten,"May 26, 2009",77
295,I Know You're Married But I've Got Feelings Too,Martha Wainwright,"June 10, 2008",77
296,Gulag Orkestar,Beirut,"May 9, 2006",77
297,First Light's Freeze,Castanets,"October 11, 2005",77
298,Front Parlour Ballads,Richard Thompson,"August 1, 2005",77
299,The Angels of Light Sing 'Other People',Angels of Light,"March 21, 2005",77
300,Horn of Plenty,Grizzly Bear,"November 9, 2004",77
301,The Black Babies,Devendra Banhart,"May 27, 2003",77
302,A,Cass McCombs,"May 20, 2003",77
303,"Lifted or The Story Is in the Soil, Keep Your Ear to the Ground",Bright Eyes,"August 13, 2002",77
304,The Optimist LP,Turin Brakes,"March 5, 2001",77
305,Lotta Sea Lice,Courtney Barnett & Kurt Vile,"October 13, 2017",76
306,Eucalyptus,Avey Tare,"July 21, 2017",76
307,Freedom Highway,Rhiannon Giddens,"February 24, 2017",76
308,Strangers,Marissa Nadler,"May 20, 2016",76
309,City Sun Eater in the River Of Light,Woods,"April 8, 2016",76
310,Where In Our Woods,Elephant Micah,"January 20, 2015",76
311,Lateness of Dancers,Hiss Golden Messenger,"September 9, 2014",76
312,Farmer's Corner,Wooden Wand,"May 5, 2014",76
313,Voices in a Rented Room,New Bums,"February 18, 2014",76
314,"Someday, The Moon Will Be Gold",Kalle Mattson,"February 11, 2014",76
315,Brothers and Sisters of the Eternal Son,Damien Jurado,"January 21, 2014",76
316,Mala,Devendra Banhart,"March 12, 2013",76
317,Occasion for Song,The Black Swans,"July 31, 2012",76
318,Maraqopa,Damien Jurado,"February 21, 2012",76
319,The Lion's Roar,First Aid Kit,"January 24, 2012",76
320,Humor Risk,Cass McCombs,"November 8, 2011",76
321,Fatou,Fatoumata Diawara,"September 27, 2011",76
322,A Creature I Don't Know,Laura Marling,"September 13, 2011",76
323,Last,The Unthanks,"April 19, 2011",76
324,All Delighted People,Sufjan Stevens,"August 20, 2010",76
325,Ullakkopalo,Kemialliset Ystävät,"August 17, 2010",76
326,"All Is Wild, All Is Silent",Balmorhea,"March 10, 2009",76
327,Heavy Ghost,DM Stith,"March 10, 2009",76
328,To Willie,Phosphorescent,"February 3, 2009",76
329,House With No Home,Horse Feathers,"September 9, 2008",76
330,Palo Santo,Shearwater,"May 9, 2006",76
331,Aw Come Aw Wry,Phosphorescent,"June 7, 2005",76
332,Cranberry,Hovvdy,"February 9, 2018",75
333,Beast Epic,Iron & Wine,"August 25, 2017",75
334,Bedouine,Bedouine,"June 23, 2017",75
335,Tara Jane O'Neil,Tara Jane O'Neil,"April 21, 2017",75
336,Blue Mountain,Bob Weir,"September 30, 2016",75
337,Pearls To Swine,Adam Torres,"September 9, 2016",75
338,Love Letter For Fire,Sam Beam & Jesca Hoop,"April 15, 2016",75
339,Where Have You Been All My Life?,Villagers,"January 8, 2016",75
340,Still,Richard Thompson,"June 23, 2015",75
341,Metalepsis,Eartheater,"February 24, 2015",75
342,Picture You,The Amazing,"February 17, 2015",75
343,Island Intervals,Death Vessel,"February 24, 2014",75
344,Strong Feelings,Doug Paisley,"January 21, 2014",75
345,Baba Yaga,Futurebirds,"April 16, 2013",75
346,Come Home To Mama,Martha Wainwright,"October 16, 2012",75
347,Ascent,Six Organs of Admittance,"August 21, 2012",75
348,Grace & Lies,Family Band,"July 24, 2012",75
349,Both Ways Open Jaws,The Dø,"November 15, 2011",75
350,Tumble Bee,Laura Veirs,"November 8, 2011",75
351,Field Songs,William Elliott Whitmore,"July 12, 2011",75
352,Alela Diane & Wild Divine,Alela Diane,"April 5, 2011",75
353,Constant Companion,Doug Paisley,"October 18, 2010",75
354,Fields,Junip,"September 14, 2010",75
355,All We Grow,S. Carey,"August 24, 2010",75
356,Hawk,Isobel Campbell & Mark Lanegan,"August 24, 2010",75
357,Destroyer of the Void,Blitzen Trapper,"June 8, 2010",75
358,Thistled Spring,Horse Feathers,"April 20, 2010",75
359,July Flame,Laura Veirs,"January 12, 2010",75
360,Hush Arbors,Hush Arbors,"October 21, 2008",75
361,Un Dia,Juana Molina,"October 6, 2008",75
362,Miles Benjamin Anthony Robinson,Miles Benjamin Anthony Robinson,"June 10, 2008",75
363,All We Could Do Was Sing,Port O'Brien,"May 13, 2008",75
364,Emotionalism,The Avett Brothers,"May 15, 2007",75
365,Dressed Up for the Letdown,Richard Swift,"February 20, 2007",75
366,Ghetto Bells,Vic Chesnutt,"March 22, 2005",75
367,Down the River of Golden Dreams,Okkervil River,"September 2, 2003",75
368,Ghost Tropic,Songs: Ohia,"November 13, 2000",75
369,The Two Worlds,Brigid Mae Power,"February 9, 2018",74
370,Introduce Yerself,Gord Downie,"October 27, 2017",74
371,Best Troubador,Bonnie 'Prince' Billy,"May 5, 2017",74
372,Book of Changes,Entrance,"February 24, 2017",74
373,One Day All of This Won’t Matter Any More,Slow Club,"August 19, 2016",74
374,Short Movie,Laura Marling,"March 23, 2015",74
375,After,Lady Lamb the Beekeeper,"March 3, 2015",74
376,Seasonal Hire,Steve Gunn & The Black Twig Pickers,"February 24, 2015",74
377,Some Heavy Ocean,Emma Ruth Rundle,"May 20, 2014",74
378,Native State,Jess Williamson,"January 28, 2014",74
379,Rooms with Walls and Windows,Julie Byrne,"January 21, 2014",74
380,Warp and Weft,Laura Veirs,"August 19, 2013",74
381,Who Needs Who,Dark Dark Dark,"October 2, 2012",74
382,La Grande,Laura Gibson,"January 24, 2012",74
383,Tamer Animals,Other Lives,"May 10, 2011",74
384,Death Seat,Wooden Wand,"October 26, 2010",74
385,Singing Ax,J. Tillman,"September 14, 2010",74
386,True Love Cast Out All Evil,Roky Erickson with Okkervil River,"April 20, 2010",74
387,The Wonder Show of the World,Bonnie 'Prince' Billy,"March 23, 2010",74
388,Sunset/Sunrise,The Dutchess and the Duke,"October 6, 2009",74
389,The Ruminant Band,Fruit Bats,"August 4, 2009",74
390,Safe Inside the Day,Baby Dee,"January 22, 2008",74
391,Gyllyng Street,Songs of Green Pheasant,"August 20, 2007",74
392,Sharp Teeth,David Karsten Daniels,"January 22, 2007",74
393,And Now That I'm in Your Shadow,Damien Jurado,"October 10, 2006",74
394,Micah P. Hinson and the Opera Circuit,Micah P Hinson,"October 10, 2006",74
395,Fading Trails,Magnolia Electric Co.,"September 12, 2006",74
396,PREfection,Cass McCombs,"January 11, 2005",74
397,Hecla & Griper,Songs: Ohia,"December 1, 1997",74
398,I Need to Start a Garden,Haley Heynderickx,"March 2, 2018",73
399,Moonshine Freeze,This Is The Kit,"July 7, 2017",73
400,Memories Are Now,Jesca Hoop,"February 10, 2017",73
401,Mowing,Michael Nau,"February 19, 2016",73
402,Night Fiction,Cian Nugent,"January 29, 2016",73
403,It Was Triumph We Once Proposed...Songs Of Jason Molina,Glen Hansard,"March 17, 2015",73
404,Alasdair Roberts,Alasdair Roberts,"January 26, 2015",73
405,Stay Gold,First Aid Kit,"June 10, 2014",73
406,Lost Colony,William Tyler,"April 29, 2014",73
407,Range of Light,S. Carey,"April 1, 2014",73
408,Mug Museum,Cate Le Bon,"November 12, 2013",73
409,Wed 21,Juana Molina,"October 29, 2013",73
410,Stitches,Califone,"September 3, 2013",73
411,About Farewell,Alela Diane,"June 25, 2013",73
412,Hands of Glory,Andrew Bird,"October 30, 2012",73
413,Fear Fun,Father John Misty,"May 1, 2012",73
414,Gentle Stream,The Amazing,"October 5, 2011",73
415,The World Is Just a Shape to Fill the Night,Case Studies,"August 15, 2011",73
416,Two Matchsticks,The Wooden Birds,"June 7, 2011",73
417,The Threshingfloor,Wovenhand,"June 22, 2010",73
418,Around The Well,Iron & Wine,"May 19, 2009",73
419,The Last Laugh,Joker's Daughter,"April 7, 2009",73
420,Winter Hours,The Deep Dark Woods,"February 17, 2009",73
421,Major General,Franz Nicolay,"January 13, 2009",73
422,The Finally LP,Mark Kozelek,"December 9, 2008",73
423,Caught in the Trees,Damien Jurado,"September 9, 2008",73
424,Conor Oberst,Conor Oberst,"August 5, 2008",73
425,The Throne of the Third Heaven of the Nations' Millennium General Assembly,Le Loup,"September 11, 2007",73
426,To Find Me Gone,Vetiver,"May 19, 2006",73
427,Songs of Green Pheasant,Songs of Green Pheasant,"August 9, 2005",73
428,On My Way to Absence,Damien Jurado,"April 5, 2005",73
429,Sweet Heart Fever,Scout Niblett,"October 16, 2001",73
430,5 Songs,The Decemberists,"June 1, 2001",73
431,The Notorious Byrd Brothers,The Byrds,"January 15, 1968",73
432,"The Greatest Gift Mixtape – Outtakes, Remixes & Demos from Carrie & Lowell",Sufjan Stevens,"November 24, 2017",72
433,Are You Serious,Andrew Bird,"April 1, 2016",72
434,Eric Bachmann,Eric Bachmann,"March 25, 2016",72
435,Fleeting,Glenn Jones,"March 18, 2016",72
436,Janus,Matt Kivel,"February 5, 2016",72
437,"Listen To Formation, Look For The Signs",Nadia Reid,"September 16, 2015",72
438,Suuns and Jerusalem in My Heart,Suuns and Jerusalem in My Heart,"April 14, 2015",72
439,At Best Cuckold,Avi Buffalo,"September 9, 2014",72
440,When the Cellar Children See the Light of Day,Mirel Wagner,"August 12, 2014",72
441,Liberation!,Peter Matthew Bauer,"June 16, 2014",72
442,You Have Already Gone To The Other World,A Hawk and a Hacksaw,"April 2, 2013",72
443,A Wonder Working Stone,Alasdair Roberts & Friends,"January 22, 2013",72
444,Blood Speaks,Smoke Fairies,"May 22, 2012",72
445,Grown Unknown,Lia Ices,"January 25, 2011",72
446,The King is Dead,The Decemberists,"January 18, 2011",72
447,Threadbare,Port O'Brien,"October 19, 2009",72
448,At The Cut,Vic Chesnutt,"September 21, 2009",72
449,Upper Air,Bowerbirds,"July 7, 2009",72
450,The Glass Bead Game,James Blackshaw,"May 26, 2009",72
451,Lost Channels,Great Lake Swimmers,"March 31, 2009",72
452,Beasts of Season,Laura Gibson,"February 24, 2009",72
453,Tight Knit,Vetiver,"February 17, 2009",72
454,The Second Gleam EP,The Avett Brothers,"July 22, 2008",72
455,The Avalanche,Sufjan Stevens,"July 11, 2006",72
456,Puzzles Like You,Mojave 3,"June 6, 2006",72
